rank,smiles,score,mmgbsa,posebusters_valid,pose_file
1,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,-9.800,,,
2,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,-9.700,,,
3,Cc1ccc(C(=O)Nc2ccc(C(=O)N3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,-9.600,,,
4,C#CC1CCN(C(=O)c2ccc(C)c(C#Cc3cnc4cccnn34)c2)CC1,-9.600,,,
5,Cc1ccc(C(=O)NCc2ccc(CN3CCN(C)CC3)cc2)cc1C#Cc1cnc2cccnn12,-9.500,,,
6,Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-9.300,,,
7,Cc1ccc(C(=O)Nc2cccc(CN3CCN(C)CC3)c2)cc1C#Cc1cnc2cccnn12,-9.300,,,
8,Cc1ccc(C(=O)Nc2ccc(N(C)C)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,-9.200,,,
9,Cc1ccc(C(=O)Nc2ccccc2CN2CCN(C)CC2)cc1C#Cc1cnc2cccnn12,-9.000,,,
10,Cc1cccc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)cnc12,-8.700,,,
11,Cc1ccc(CNC(=O)c2ccc(C)c(C#Cc3cnc4cccnn34)c2)s1,-8.700,,,
12,CC(=O)Nc1cc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)ccc1C,-8.500,,,
13,Cc1nc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2[nH]1,-8.500,,,
14,CN1CCN(Cc2ccc(NC(=O)c3ccc4ncncc4c3)cc2C(F)(F)F)CC1,-8.400,,,
15,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,-8.300,,,
16,O=C(Nc1ccn(Cc2ccc(O)cc2C(F)(F)F)n1)c1c(F)cccc1F,-8.200,,,
17,O=C(NCc1cccc2ccccc12)c1ccccn1,-8.000,,,
18,CCN1CCN(Cc2ccc(C(=O)Nc3cccc(CN4CCN(C)CC4)c3)cc2C(F)(F)F)CC1,-8.000,,,
19,CC(C)(NC(=O)NCc1ccccc1Cl)c1ccccc1,-7.900,,,
20,CN1CCN(Cc2ccc(NC(=O)c3ccc4[nH]ncc4c3)cc2C(F)(F)F)CC1,-7.900,,,
